line	name	similarity_score
871	Δηιάνειρα	0.920462478208822
871	Θεράπαινα	0.9502993829521269
871	Λίχας	0.8518303552882518
871	Πρέσβυς	0.7920600297528718
871	Τροφός	1.0
871	Χορός	0.7487248751383985
871	Ἄγγελος	0.8783506141014042
871	Ἡμιχόριον	0.7863016025907069
871	Ἡμιχόριον 1	0.0
871	Ἡμιχόριον 2	1.0
871	Ἡρακλῆς	0.7404060513984514
871	Ὕλλος	0.8848753837124731
872	Δηιάνειρα	0.9868095179011368
872	Θεράπαινα	1.0
872	Λίχας	1.0
872	Πρέσβυς	1.0000000000000002
872	Τροφός	1.0000000000000002
872	Χορός	1.0
872	Ἄγγελος	0.9995387826097927
872	Ἡμιχόριον	0.0
872	Ἡμιχόριον 1	0.0
872	Ἡμιχόριον 2	0.0
872	Ἡρακλῆς	1.0
872	Ὕλλος	0.9999999999999999
874	Δηιάνειρα	1.0
874	Θεράπαινα	0.8834039683093176
874	Λίχας	0.9997113178678481
874	Πρέσβυς	1.0
874	Τροφός	1.0
874	Χορός	1.0
874	Ἄγγελος	0.9982290140777295
874	Ἡμιχόριον	0.0
874	Ἡμιχόριον 1	0.0
874	Ἡμιχόριον 2	0.0
874	Ἡρακλῆς	1.0
874	Ὕλλος	1.0
875	Δηιάνειρα	0.9040930153986113
875	Θεράπαινα	1.0
875	Λίχας	0.9759340054744606
875	Πρέσβυς	1.0
875	Τροφός	1.0000000000000002
875	Χορός	0.8715667627859314
875	Ἄγγελος	0.9981605263763196
875	Ἡμιχόριον	0.0
875	Ἡμιχόριον 1	1.0
875	Ἡμιχόριον 2	0.0
875	Ἡρακλῆς	0.9868669530796007
875	Ὕλλος	0.9432403961091963
876	Δηιάνειρα	0.9159455854811737
876	Θεράπαινα	1.0
876	Λίχας	0.8040582360744378
876	Πρέσβυς	1.0
876	Τροφός	1.0
876	Χορός	0.9406596344652058
876	Ἄγγελος	0.9923635496563921
876	Ἡμιχόριον	0.0
876	Ἡμιχόριον 1	1.0
876	Ἡμιχόριον 2	0.0
876	Ἡρακλῆς	0.6952657136252195
876	Ὕλλος	0.6782926161396899
877	Δηιάνειρα	0.9956919000104264
877	Θεράπαινα	1.0
877	Λίχας	0.8040582360744378
877	Πρέσβυς	1.0
877	Τροφός	0.9999999999999998
877	Χορός	1.0
877	Ἄγγελος	0.9720780562605487
877	Ἡμιχόριον	0.0
877	Ἡμιχόριον 1	0.6637222518646174
877	Ἡμιχόριον 2	0.0
877	Ἡρακλῆς	0.9890702813219542
877	Ὕλλος	0.996620898317127
879	Δηιάνειρα	0.74535935083001
879	Θεράπαινα	1.0
879	Λίχας	0.9972816609165415
879	Πρέσβυς	0.0
879	Τροφός	1.0
879	Χορός	1.0
879	Ἄγγελος	0.9742101449775696
879	Ἡμιχόριον	1.0
879	Ἡμιχόριον 1	0.0
879	Ἡμιχόριον 2	0.0
879	Ἡρακλῆς	0.8772268938997348
879	Ὕλλος	0.91488565513356
882	Δηιάνειρα	1.0
882	Θεράπαινα	1.0
882	Λίχας	1.0
882	Πρέσβυς	0.0
882	Τροφός	1.0
882	Χορός	1.0
882	Ἄγγελος	1.0
882	Ἡμιχόριον	0.0
882	Ἡμιχόριον 1	0.0
882	Ἡμιχόριον 2	0.0
882	Ἡρακλῆς	1.0
882	Ὕλλος	1.0
886	Δηιάνειρα	1.0
886	Θεράπαινα	0.0
886	Λίχας	1.0
886	Πρέσβυς	0.0
886	Τροφός	1.0
886	Χορός	1.0
886	Ἄγγελος	1.0
886	Ἡμιχόριον	0.0
886	Ἡμιχόριον 1	0.0
886	Ἡμιχόριον 2	0.0
886	Ἡρακλῆς	1.0
886	Ὕλλος	1.0
888	Δηιάνειρα	0.9818152930402511
888	Θεράπαινα	1.0
888	Λίχας	0.9633134068112228
888	Πρέσβυς	1.0
888	Τροφός	1.0
888	Χορός	0.8680142659547527
888	Ἄγγελος	0.9980898272065639
888	Ἡμιχόριον	1.0
888	Ἡμιχόριον 1	1.0
888	Ἡμιχόριον 2	0.0
888	Ἡρακλῆς	0.9484052462732581
888	Ὕλλος	0.9898655720308674
891	Δηιάνειρα	0.9535073216392984
891	Θεράπαινα	0.9851390830216699
891	Λίχας	0.9972557603208674
891	Πρέσβυς	1.0
891	Τροφός	1.0
891	Χορός	0.8537450883818769
891	Ἄγγελος	0.9090169106234668
891	Ἡμιχόριον	1.0
891	Ἡμιχόριον 1	0.0
891	Ἡμιχόριον 2	0.0
891	Ἡρακλῆς	0.8878730059581987
891	Ὕλλος	0.9935000764448546
892	Δηιάνειρα	0.0
892	Θεράπαινα	0.0
892	Λίχας	0.0
892	Πρέσβυς	0.0
892	Τροφός	1.0
892	Χορός	0.0
892	Ἄγγελος	0.0
892	Ἡμιχόριον	0.0
892	Ἡμιχόριον 1	0.0
892	Ἡμιχόριον 2	0.0
892	Ἡρακλῆς	0.0
892	Ὕλλος	0.0
896	Δηιάνειρα	0.5658723227928386
896	Θεράπαινα	0.952929680055084
896	Λίχας	1.0
896	Πρέσβυς	0.0
896	Τροφός	1.0000000000000002
896	Χορός	0.9259102985172362
896	Ἄγγελος	0.9097589881479746
896	Ἡμιχόριον	0.0
896	Ἡμιχόριον 1	0.0
896	Ἡμιχόριον 2	0.0
896	Ἡρακλῆς	0.9099649779003884
