line	name	similarity_score
867	Δηιάνειρα	1.0
867	Θεράπαινα	0.0
867	Λίχας	1.0
867	Πρέσβυς	1.0
867	Τροφός	1.0
867	Χορός	1.0
867	Ἄγγελος	1.0
867	Ἡμιχόριον	0.9999999999999998
867	Ἡμιχόριον 1	0.0
867	Ἡμιχόριον 2	0.0
867	Ἡρακλῆς	1.0
867	Ὕλλος	1.0
868	Δηιάνειρα	0.5618173812662907
868	Θεράπαινα	0.0
868	Λίχας	0.593977882759733
868	Πρέσβυς	1.0
868	Τροφός	0.9973913779144429
868	Χορός	0.9044809684731366
868	Ἄγγελος	0.9669358509034451
868	Ἡμιχόριον	1.0000000000000002
868	Ἡμιχόριον 1	0.0
868	Ἡμιχόριον 2	1.0
868	Ἡρακλῆς	0.6281229297551604
868	Ὕλλος	0.772251781070519
870	Δηιάνειρα	0.7440175366412012
870	Θεράπαινα	1.0
870	Λίχας	0.7719868933858581
870	Πρέσβυς	0.0
870	Τροφός	0.8666913153887429
870	Χορός	0.8771538303997443
870	Ἄγγελος	0.7504835592622312
870	Ἡμιχόριον	1.0000000000000002
870	Ἡμιχόριον 1	0.0
870	Ἡμιχόριον 2	0.0
870	Ἡρακλῆς	0.8006128800978982
870	Ὕλλος	0.9721062190854853
