line	name	similarity_score
866	Αἴας	1.0
866	Μενέλαος	1.0
866	Τέκμησσα	1.0
866	Τεῦκρος	1.0000000000000002
866	Χορός	0.9843241382880893
866	Ἀγαμέμνων	0.0
866	Ἀθήνα	1.0
866	Ἄγγελος	1.0
866	Ἡμιχόριον 1	0.9999999999999999
866	Ἡμιχόριον 2	1.0
866	Ὀδυσσεύς	1.0
867	Αἴας	0.0
867	Μενέλαος	0.0
867	Τέκμησσα	0.0
867	Τεῦκρος	0.0
867	Χορός	1.0000000000000002
867	Ἀγαμέμνων	0.0
867	Ἀθήνα	0.0
867	Ἄγγελος	0.0
867	Ἡμιχόριον 1	1.0000000000000002
867	Ἡμιχόριον 2	0.0
867	Ὀδυσσεύς	0.0
868	Αἴας	0.984783558817937
868	Μενέλαος	0.9805806756909202
868	Τέκμησσα	0.9544799780350298
868	Τεῦκρος	0.8636342494487715
868	Χορός	0.6081344234363235
868	Ἀγαμέμνων	0.9486832980505138
868	Ἀθήνα	0.9899494936611666
868	Ἄγγελος	1.0000000000000002
868	Ἡμιχόριον 1	0.9999999999999998
868	Ἡμιχόριον 2	0.0
868	Ὀδυσσεύς	0.9284766908852594
869	Αἴας	0.4804701594209324
869	Μενέλαος	0.8416226052502712
869	Τέκμησσα	0.6720977658955254
869	Τεῦκρος	0.4946437194941597
869	Χορός	0.5081404234619877
869	Ἀγαμέμνων	0.970142500145332
869	Ἀθήνα	0.9945054529214061
869	Ἄγγελος	1.0
869	Ἡμιχόριον 1	0.9999999999999999
869	Ἡμιχόριον 2	0.0
869	Ὀδυσσεύς	0.9716676031619469
870	Αἴας	1.0
870	Μενέλαος	1.0
870	Τέκμησσα	1.0
870	Τεῦκρος	1.0
870	Χορός	1.0
870	Ἀγαμέμνων	1.0
870	Ἀθήνα	1.0
870	Ἄγγελος	0.0
870	Ἡμιχόριον 1	1.0
870	Ἡμιχόριον 2	0.0
870	Ὀδυσσεύς	1.0
871	Αἴας	0.5012848370948754
871	Μενέλαος	0.8485657661359708
871	Τέκμησσα	0.7256378489494009
871	Τεῦκρος	0.8306937371578322
871	Χορός	0.8184210113440218
871	Ἀγαμέμνων	1.0
871	Ἀθήνα	0.9597152999707458
871	Ἄγγελος	1.0
871	Ἡμιχόριον 1	1.0
871	Ἡμιχόριον 2	0.0
871	Ὀδυσσεύς	0.9043969055603146
873	Αἴας	0.39308549846216456
873	Μενέλαος	1.0
873	Τέκμησσα	0.4360811020030183
873	Τεῦκρος	0.39308549846216456
873	Χορός	0.47317221010268773
873	Ἀγαμέμνων	0.9801880850721739
873	Ἀθήνα	1.0
873	Ἄγγελος	0.0
873	Ἡμιχόριον 1	0.9999999999999999
873	Ἡμιχόριον 2	0.0
873	Ὀδυσσεύς	0.9587555126777504
875	Αἴας	0.484422958251119
875	Μενέλαος	0.9671409387477552
875	Τέκμησσα	0.5378967050214125
875	Τεῦκρος	0.4931158011310352
875	Χορός	0.5764973294134003
875	Ἀγαμέμνων	0.7594406496909091
875	Ἀθήνα	1.0
875	Ἄγγελος	0.0
875	Ἡμιχόριον 1	1.0
875	Ἡμιχόριον 2	0.0
875	Ὀδυσσεύς	0.9253092380449498
877	Αἴας	0.329526343479921
877	Μενέλαος	0.785553319064987
877	Τέκμησσα	0.409741956851216
877	Τεῦκρος	0.5942312920651148
877	Χορός	0.4138384713712412
877	Ἀγαμέμνων	0.5002291392801955
877	Ἀθήνα	0.5767404946094576
877	Ἄγγελος	0.6767529681839597
877	Ἡμιχόριον 1	1.0
877	Ἡμιχόριον 2	0.0
877	Ὀδυσσεύς	0.7670271390835933
878	Αἴας	0.935027756701856
878	Μενέλαος	1.0
878	Τέκμησσα	1.0
878	Τεῦκρος	0.681428267878035
878	Χορός	0.8798828065433411
878	Ἀγαμέμνων	0.9867389149309267
878	Ἀθήνα	0.697541716107741
878	Ἄγγελος	0.9694518414033572
878	Ἡμιχόριον 1	0.9999999999999999
878	Ἡμιχόριον 2	0.0
878	Ὀδυσσεύς	1.0
