urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1@ἀκτὴ	1	Ὀδυσσεύς	ἀκτὴ	noun	ἀκτή
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1@μὲν	1	Ὀδυσσεύς	μὲν	adverb	μέν
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1@ἥδε	1	Ὀδυσσεύς	ἥδε	determiner	ὅδε
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1@τῆς	1	Ὀδυσσεύς	τῆς	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1@περιρρύτου	1	Ὀδυσσεύς	περιρρύτου	adjective	περίρυτος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1@χθονὸς	1	Ὀδυσσεύς	χθονὸς	noun	χθόνος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:2@Λήμνου,	2	Ὀδυσσεύς	Λήμνου,	proper_noun	Λῆμνος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:2@βροτοῖς	2	Ὀδυσσεύς	βροτοῖς	noun	βροτή
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:2@ἄστιπτος	2	Ὀδυσσεύς	ἄστιπτος	adjective	ἄστιπτος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:2@οὐδʼ	2	Ὀδυσσεύς	οὐδʼ	coordinating_conjunction	οὐδʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:2@οἰκουμένη,	2	Ὀδυσσεύς	οἰκουμένη,	noun	οἰκουμένη
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:3@ἔνθʼ,	3	Ὀδυσσεύς	ἔνθʼ,	verb	ἐνθίω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:3@ὦ	3	Ὀδυσσεύς	ὦ	interjection	ὦ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:3@κρατίστου	3	Ὀδυσσεύς	κρατίστου	adjective	κράτιστος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:3@πατρὸς	3	Ὀδυσσεύς	πατρὸς	noun	πατήρ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:3@Ἑλλήνων	3	Ὀδυσσεύς	Ἑλλήνων	noun	Ἕλλην
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:3@τραφεὶς	3	Ὀδυσσεύς	τραφεὶς	verb	τρέφω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:4@Ἀχιλλέως	4	Ὀδυσσεύς	Ἀχιλλέως	proper_noun	Ἀχιλλέως
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:4@παῖ	4	Ὀδυσσεύς	παῖ	noun	παῖς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:4@Νεοπτόλεμε,	4	Ὀδυσσεύς	Νεοπτόλεμε,	proper_noun	Νεοπτόλεμα
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:4@τὸν	4	Ὀδυσσεύς	τὸν	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:4@Μηλιᾶ	4	Ὀδυσσεύς	Μηλιᾶ	proper_noun	Μηλιά
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:5@Ποίαντος	5	Ὀδυσσεύς	Ποίαντος	proper_noun	Ποίαντος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:5@υἱὸν	5	Ὀδυσσεύς	υἱὸν	noun	υἱός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:5@ἐξέθηκʼ	5	Ὀδυσσεύς	ἐξέθηκʼ	verb	ἐξατίθημι
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:5@ἐγώ	5	Ὀδυσσεύς	ἐγώ	pronoun	ἐγώ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:5@ποτε,	5	Ὀδυσσεύς	ποτε,	auxiliary	πούω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:6@ταχθεὶς	6	Ὀδυσσεύς	ταχθεὶς	verb	τάσσω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:6@τόδʼ	6	Ὀδυσσεύς	τόδʼ	pronoun	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:6@ἔρδειν	6	Ὀδυσσεύς	ἔρδειν	verb	ἔρδω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:6@τῶν	6	Ὀδυσσεύς	τῶν	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:6@ἀνασσόντων	6	Ὀδυσσεύς	ἀνασσόντων	verb	ἀνασσέντω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:6@ὕπο,	6	Ὀδυσσεύς	ὕπο,	verb	ὑφίημι
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:7@νόσῳ	7	Ὀδυσσεύς	νόσῳ	noun	νόσος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:7@καταστάζοντα	7	Ὀδυσσεύς	καταστάζοντα	verb	καταστάζζω
