urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:162@ἄνδρες,	162	Κρέων	ἄνδρες,	noun	ἀνήρ
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:162@τὰ	162	Κρέων	τὰ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:162@μὲν	162	Κρέων	μὲν	adverb	μέν
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:162@δὴ	162	Κρέων	δὴ	adverb	δή
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:162@πόλεος	162	Κρέων	πόλεος	noun	πόλις
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:162@ἀσφαλῶς	162	Κρέων	ἀσφαλῶς	adverb	ἀσφαλῶς
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:162@θεοὶ	162	Κρέων	θεοὶ	noun	θεός
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:163@πολλῷ	163	Κρέων	πολλῷ	adjective	πολύς
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:163@σάλῳ	163	Κρέων	σάλῳ	noun	σάλος
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:163@σείσαντες	163	Κρέων	σείσαντες	verb	σείω
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:163@ὤρθωσαν	163	Κρέων	ὤρθωσαν	verb	ὁράω
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:163@πάλιν.	163	Κρέων	πάλιν.	adverb	πάλιν.
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:164@ὑμᾶς	164	Κρέων	ὑμᾶς	pronoun	ὑμεῖς
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:164@δʼ	164	Κρέων	δʼ	adverb	δʼ
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:164@ἐγὼ	164	Κρέων	ἐγὼ	pronoun	ἐγώ
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:164@πομποῖσιν	164	Κρέων	πομποῖσιν	noun	πομπός
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:164@ἐκ	164	Κρέων	ἐκ	adposition	ἐκ
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:164@πάντων	164	Κρέων	πάντων	adjective	πᾶς
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:164@δίχα	164	Κρέων	δίχα	adverb	δίχα
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:165@ἔστειλʼ	165	Κρέων	ἔστειλʼ	verb	στείλω
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:165@ἱκέσθαι	165	Κρέων	ἱκέσθαι	verb	ἵκω
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:165@τοῦτο	165	Κρέων	τοῦτο	adjective	οὗτος
